,Package,Description,Tests
18,apollo full body checkup female advance ,"About
Sample
BLOOD, URINE
Gender
Female
Age group
7 years & above
Curated by Dr Ashish Chauhan, the Apollo Fully Body Checkup - Advance comprises tests like CBC, ESR, LFT, KFT, CRP, complete urine examination, thyroid profile, iron, uric acid, vitamins B12 and D3, serum creatinine and electrolytes, cholesterol, calcium and fasting blood sugar to screen organs like heart, liver, thyroid, bones and kidneys for various health conditions and diseases. This checkup should be done annually by every individual above the age of 20 years, as it is a preventive diagnostic evaluation. It should also be done by people suffering from any organ disorder. You must undergo periodic routine tests to prevent health complications and significant illness. Opting for a full body health checkup can help you assess your body vitals without any hassle. A complete body checkup offers the following major benefits: It helps you determine the overall level of fitness A full body test helps doctors detect life-threatening diseases like cancers It is a preventive and comprehensive health checkup that can help you make lifestyle alterations Such a diagnostics test can help you manage genetic diseases in a better way Overall, a complete body checkup can help you avoid diseases and save money in the long run. For instance, with such a comprehensive evaluation, you can prevent the requirement of surgeries or prolonged treatments that can prove quite expensive. Usually, a full body health checkup consists of a blood test that evaluates several health parameters. In addition, you also have to provide your urine sample to allow the pathology experts to determine urinary tract infections (UTIs), diabetes, or kidney diseases. A full body test includes the following types of sub-evaluations: Glucose Testing: These tests include HbA1c, and glucose fasting for blood sugar level determination. Notably, this analysis helps assess diabetes. Blood Study: There are twenty-eight tests under this category aim to evaluate anaemia and Hb levels, provide important information about a person's overall health, and help diagnose a wide range of medical conditions. Cancer Screening: This has essential tools for detecting cancer in its early stages when treatment is often more effective, and the chances of survival are higher. Renal Function Test: It is a group test that checks levels of creatinine, uric acid, blood urea, chloride, potassium and sodium to assess if the kidneys are functioning properly. It checks for kidney problems such as infections, kidney stones, and chronic kidney diseases. Vitamin Test: Vitamin tests, which measure the levels of various vitamins like B12 and D in the body, are used to diagnose vitamin deficiencies or excesses, which can cause a range of health problems and affect overall well-being Infection Test: This blood test category consists of 2 evaluations that measure aspects like erythrocyte sedimentation rate and C-reactive protein levels. Thyroid Profile: It includes four tests that measure the levels of thyroid hormones in the blood and is used to diagnose thyroid disorders such as hypothyroidism and hyperthyroidism and to monitor the effectiveness of treatment Liver Function Test: It is a group test that checks levels of bilirubin, ALT/SGPT, AST/SGOT, alkaline phosphatase and albumin to assess if the liver is functioning properly. Apollo 24|7 offers an all-inclusive complete body checkup comprising all the above test categories. In addition, our full body checkup package includes an iron studies module and routine evaluations like CBC and lipid profile. Physicians recommend a full body test from a reliable pathology lab brand. Notably, you can receive our full body health checkup reports within six days in most cases. So, ensure you consult your family physician and benefit from a comprehensive health checkup at Apollo 24|7.  
Read More","Test(s) Included (95)
Blood Studies (Anemia) (29)
Thyroid (4)
Liver (10)
Kidney (31)
Heart (Cardiac) (8)
Vitamin (2)
Diabetes (3)
Others (1)
Bone (1)
Iron Studies (1)
Infection (2)
Hepatitis Screening (2)
Cancer Screening (1)"
19,apollo womens health essential ,"About
Sample
BLOOD
Gender
Female
Age group
7 years & above
Curated by Dr Senthamil Selvi, Apollo Women's Health - Essential comprises all the tests included in the Basic package as well as HbA1c, urea and creatinine, SGOT, SGPT, and HBsAg tests. These tests can facilitate the diagnosis of most gynaecological conditions in women. The package is recommended for every woman aged 18 years and above.
Apollo Women’s Health - Essential Test is a comprehensive health package designed specifically for women. It is one of the best health checkup packages for women, consisting of various tests crucial for maintaining and monitoring health.
Read More","Test(s) Included (40)
Blood Studies (Anemia) (29)
Liver (2)
Diabetes (4)
Hepatitis Screening (1)
Kidney (3)
Thyroid (1)"
20,apollo womens health advance ,"About
Sample
BLOOD
Gender
Female
Age group
7 years & above
Curated by Dr Srikala Dodda Reddy, Apollo Women's Health - Advance comprises tests such as CBC, random blood sugar, HbA1c, serum electrolytes, TSH, urea and creatinine, HBsAg, APTT, blood group, Rh type, LFT, vitamin D3, and CA 125. These tests can facilitate the diagnosis of most gynaecological conditions in women. The package is recommended for every woman aged 18 years and above.
Maintaining and monitoring vital health indicators is crucial for women as they age. A routine test might appear excessive and cumbersome, however they can add years to their lives. That’s why doctors recommend annual gynaecological assessments such as Apollo Women's Health - Advance Test to ensure timely diagnosis of potential ailments.

Read More","Test(s) Included (60)
Blood Studies (Anemia) (37)
Diabetes (1)
Heart (Cardiac) (2)
Kidney (3)
Vitamin (1)
Liver (10)
Others (6)"
21,apollo senior citizens care essential ,"About
Sample
BLOOD, URINE
Gender
Both
Age group
7 years & above
Curated by Dr Dyna, Apollo Senior Citizen's Care - Essential comprises tests such as CBC, renal function test, liver function test, lipid profile, fasting blood glucose, urine routine, vitamin D, and TSH. These tests can help identify medical conditions in the elderly early on. The package is recommended for every senior citizen aged 60 years and above.
As you age, your body goes through wear and tear and requires constant modifications in diet and lifestyle. This is why it is vital to keep track of various health parameters. You need in-depth insights into health parameters to decide the exact alterations your body needs.

Read More","Test(s) Included (81)
Diabetes (1)
Vitamin (1)
Kidney (17)
Blood Studies (Anemia) (29)
Heart (Cardiac) (8)
Liver (10)
Others (15)"
22,apollo senior citizens care female advance ,"About
Sample
BLOOD, URINE
Gender
Female
Age group
7 years & above
Curated by Dr Steve Paul Manjaly, Apollo Senior Citizen's Care - Advance comprises all the tests included in the essential package as well as tests like C-reactive protein (CRP), peripheral smear, vitamins B12 and D, TSH, fT4, PSA (for Men) CA125 (for women). These tests can facilitate the diagnosis of most medical conditions that affect the elderly. The package is recommended for every senior citizen aged 60 years and above.
With ageing, the need for frequent medical testing increases. This is when senior citizens must proactively observe the changes in their bodies and opt for a full body check-up. Be it frequent swelling in joints or any part of the body – ignoring these signs after 60 years of age could be risky.

Read More","Test(s) Included (93)
Blood Studies (Anemia) (34)
Cancer Screening (1)
Kidney (31)
Vitamin (2)
Thyroid (2)
Others (1)
Diabetes (3)
Infection (1)
Liver (10)
Heart (Cardiac) (8)"
23,apollo diabetes panel advance female ,"About
Sample
BLOOD, URINE
Gender
Female
Age group
7 years & above
Curated by Dr Anusha, the Apollo Diabetes Panel - Advance comprises tests like fasting, PP, HbA1c, complete urine examination, CBC, LFT, cholesterol, vitamin B12, vitamin D, calcium and creatinine serum to monitor if diabetes is putting you at risk of liver or kidney failure, heart diseases, vitamin deficiencies and any other serious illnesses. This test should be taken by people of all age group who are either prediabetic, diabetic or has a family history of diabetes.
Diabetes is one of the most common diseases that affect people all over the world. It is characterised by too high blood glucose levels. The condition is linked to multiple health complications. It is worth mentioning that the risk of certain diabetes complications, such as heart disease and kidney disease, is higher in women than men. The Apollo Diabetes Panel - Advance Female is a comprehensive set of 78 tests across eight screening categories. All eight categories look at different organs and bodily functions to offer an accurate diagnosis of diabetes.

Read More","Test(s) Included (81)
Diabetes (2)
Vitamin (1)
Blood Studies (Anemia) (29)
Kidney (3)
Heart (Cardiac) (8)
Liver (10)
Others (28)"
24,apollo heart check advance ,"About
Sample
BLOOD, URINE
Gender
Both
Age group
7 years & above
Heart-related complications, or cardiovascular diseases, contribute to 17.9 million deaths annually, as confirmed by the World Health Organization (WHO). These problems impact people of all ages, warranting an early heart function test.
Cardiovascular diseases present themselves in the form of problems like:
Coronary artery disease
Irregular heartbeats

Read More","Test(s) Included (75)
Heart (Cardiac) (11)
Vitamin (2)
Kidney (31)
Blood Studies (Anemia) (29)
Thyroid (1)
Others (1)"
25,allergy comprehensive panel ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
As the name suggests, the allergy comprehensive panel test package is used to test if you are allergic to anything in your immediate environment. The test package encompasses 15 tests and offers accurate results.
The roster of allergy tests on the package includes tests for some of the most common allergens in the country. As a result, you will obtain a definite diagnosis, and if you are allergic to something, it will show up in your results.


Read More","Test(s) Included (27)
ALLERGY COMPREHENSIVE PANEL
27 Tests Included"
26,blood group abo and rh factor ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Blood group ABO and Rh factor test helps to determine the type of blood group and type of Rh factor. The Blood group ABO and Rh factor test is done: • In case blood or blood components transfusion is required • In case of blood or organ donation • In case of tissue or bone marrow transplantation • To determine the risk of Rh incompatibility with the fetus in a pregnant woman
Read More","Test(s) Included (8)
BLOOD GROUP ABO AND RH FACTOR
8 Tests Included"
27,total ige ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Getting regular health check-ups done can help you screen for common health conditions on time. It also helps to prevent any kind of complications of diseases such as diabetes, thyroid, heart, kidney, liver diseases, and stroke. The Full Body Check Basic-Apollo 24*7 package is designed to screen basic health parameters. This package includes glucose fasting test, complete urine examination, liver function test, lipid profile, complete blood count, urea test, creatinine test, and thyroid stimulating hormone (TSH) test. The Full Body Check Basic-Apollo 24*7 package is done: • As a routine check-up • To screen for risk of diseases such as diabetes, thyroid, heart, kidney, liver diseases, and stroke • In persons who are at risk for diseases such as having a family history of diabetes, heart, kidney, liver diseases.
Read More","Test(s) Included (1)
IgE (Total)
1 Test Included"
28,allergy screen total ige and phadiatop ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The allergy screen helps to screen the allergic disease. It is sometimes used to screen parasitic infections as well. The allergy screen includes Total IgE and Phadiatop test. This screening is suggested when one has symptoms such as itching, nausea, vomiting, diarrhea, itchy eyes, sneezing, eczema, coughing, etc. The allergy screen is done: • In case of allergies • In cases of signs and symptoms that suggest allergies • In case of a parasitic infection
Read More","Test(s) Included (2)
Allergy Screen (Includes Total IGE And Phadiatop)
2 Tests Included"
29,microalbumin creatinine ratio urine ,"About
Sample
URINE
Gender
Both
Age group
7 years & above
The Microalbumin/Creatinine ratio – urine test helps to screen and detect kidney disease at an early stage especially in the person having diabetes or having risk factors such as high blood pressure. The Microalbumin/Creatinine ratio – urine test is done: • Annually, in the person suffering from diabetes type 2 • After five years, in person suffering from diabetes type 1 • At regular intervals in case of a person suffering from high blood pressure
Read More","Test(s) Included (4)
Microalbumin / Creatinine Ratio - Urine
4 Tests Included"
30,absolute eosinophil count ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
An absolute eosinophil count test helps to measure the number of eosinophils. This test helps to detect infections, allergic diseases, and other medical conditions. An absolute eosinophil count is done: • As a routine check-up • In case of parasitic infections • In case of signs and symptoms of allergy such as redness of eyes, itchy eyes, coughing, nasal congestion, asthma, dermatitis, or abdominal pain • To detect early stages of Cushing’s disease • To detect syndrome such as acute hypereosinophilic syndrome
Read More","Test(s) Included (1)
ABSOLUTE EOSINOPHIL COUNT (AEC)
1 Test Included"
31,allergy food panel veg ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
When individuals consume certain types of food, their immune systems may react adversely to some of the proteins in the food. This reaction can lead to several symptoms which can occasionally be severe.
Often, allergies restrict our food options especially when you are travelling or are unable to have home-cooked meals.
A comprehensive allergy veg food panel test can solve this issue. To identify suspected allergies, you can avail Allergy Veg Food Panel offered by Apollo 24|7. The panel of tests is designed to test for allergies to specific vegetables and grains that are known to cause allergic reactions. It works by identifying individual food allergens in blood samples.








Read More","Test(s) Included (10)
Allergy Veg Food Panel
10 Tests Included"
32,allergy paediatric panel ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Allergies are an overreaction of the immune system to substances that are typically harmless. These substances are known as allergens, and they can include dust mites, pollen, animal dander, food, and insect venom. Allergic reactions can vary from mild to severe and even life-threatening in some cases.
The Allergy Paediatric Panel test is a diagnostic tool used to identify allergens that trigger an allergic reaction in children above the age of 10.










Read More","Test(s) Included (15)
ALLERGY PAEDIATRIC PANEL
15 Tests Included"
33,allergy dust panel ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Allergy dust panel helps to detect if a person has an allergy to dust, mites such as cockroaches, Drmatophagoides Pteronyssinus, and Dermatophagoides Farinae. The Allergy Dust Panel is done: • In case of symptoms of allergy such as itching, sneezing, nausea, vomiting, eczema, diarrhea, coughing, etc.
Read More","Test(s) Included (4)
ALLERGY DUST PANEL
4 Tests Included"
34,allergy animal panel ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
This test panel can find out five common animal allergies: • Cow Dander (IgE) • Goose Feathers (IgE) • Chicken Feathers (IgE) • Mouse Urine Proteins (IgE) • Horse Dander (IgE)
Read More","Test(s) Included (4)
ALLERGY ANIMAL PANEL
4 Tests Included"
35,allergy fruit panel mini ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Allergies occur when the body's immune mechanism recognises some substances as harmful and creates Immunoglobulin E (IgE) antibodies to combat them. The intensity of an allergy differs from one person to the other.
Fruit allergies account for roughly 10% of all food allergies and cause the body to perceive the fruit as a toxic substance rather than a food. The immune mechanism releases antibodies and histamines to combat the toxin, resulting in symptoms such as oedema, rashes, gastrointestinal difficulties, throat swelling, and more. These allergic responses may affect the mouth or any skin surface that comes into contact with the allergen.


Read More","Test(s) Included (6)
Allergy Fruit Panel
6 Tests Included"
36,allergy food panel non veg ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Everyone’s body reacts to non-vegetarian foods in different ways. Some people experience internal reactions upon ingesting certain non-veg foods. These internal reactions are allergies that often trigger different symptoms. For instance, you can experience itching, running nose, or abdominal pain after eating a specific non-veg item. 
The Allergy Non-Veg Food Panel Testing
Apollo 24|7’s non-veg allergy determination package consists of ten tests. Each of these medical tests detect the allergic reactions to particular foods.


Read More","Test(s) Included (10)
Allergy Non Veg Food Panel
10 Tests Included"
37,hiv rapid ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
HIV Rapid test is also known as Rapid HIV antibody test. This test helps to detect HIV infection in the blood. The HIV Rapid test is done: • To detect HIV infection Important Note: As per guidelines, the laboratory report of the test needs to be collected from the registered centre only. Details for the same will be shared once the test reports have been generated.
Read More","Test(s) Included (1)
HIV RAPID
1 Test Included"
38,hiv duo antigen and antibody ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Following documents need to be filled and provided by the patient/customer for processing and reporting of the test results:
Consent form

This HIV DUO test helps detect HIV 1 and 2 antibodies and P24 antigen. The antibodies against HIV-1 and HIV-2 are usually not detectable until 6 to 12 weeks following exposure and are mostly detectable within 12 months. The P24 antigen is an indicator of HIV infection which can be detected earlier than tests that only look for HIV (Human Immunodeficiency Virus) antibodies. HIV weakens a person’s immune system by destroying important cells that fight disease and infection. The main modes of HIV transmission include unprotected sex with a person who has HIV (anal or vaginal), sharing needles, syringes, from mother-to-baby during pregnancy, childbirth and breastfeeding, receiving blood transfusions, blood products, or organ/tissue transplants from infected person. The test is advised for people with symptoms like fever, chills, nausea, rash, night sweats, muscle aches, oral thrush, sore throat, fatigue, unintentional weight loss, swollen lymph nodes, and mouth ulcers. The person may be asymptomatic during the acute phase of infection.
Read More","Test(s) Included (1)
HIV DUO (ANTIGEN AND ANTIBODY)
1 Test Included"
39,anti hcv ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Anti HCV test is used for screening and diagnosis of a person likely to be infected with the hepatitis C virus. When a person is infected with a virus, they produce antibodies, chemical compounds that are released into the blood stream, to fight the virus. HCV is an infection that often causes inflammation and damage of the liver. This infection can lead to cirrhosis, liver failure, and liver cancer.
Read More","Test(s) Included (1)
ANTI HCV
1 Test Included"
40,vdrl rpr qualitative serum ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
(VDRL) RPR Qualitative – Serum Test
Test Overview
Sample Type Blood
Reports Delivery 3 days
Price/Cost ₹370
Number of Tests Included 2
What is a (VDRL) RPR Qualitative – Serum Test?
The VDRL (venereal disease research laboratory) RPR (rapid plasma reagin) qualitative – serum test is a common screening test used in the detection of syphilis. Syphilis is a sexually transmitted bacterial infection that often goes unnoticed in its early stages due to its mild or even non-existent symptoms. However, if left untreated, it can lead to serious health complications over time.


Read More","Test(s) Included (2)
(VDRL) RPR Qualitative- Serum
2 Tests Included"
41,hbsag screening rapid ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
HbsAg screening (rapid) test is also known as Hepatitis B Testing. This test helps to screen and diagnose Hepatitis B virus infection. It also helps to detect previous Hepatitis B infection which had been resolved. It is also done to monitor the ongoing treatment of hepatitis. The HbsAg screening (rapid) test is done: • In case of risk factors for Hepatitis B virus infection • In case of signs and symptoms of Hepatitis such as jaundice • In case of an unexplained rise in blood levels of liver enzymes such as alanine aminotransferase • In case of ongoing treatment for hepatitis.
Read More","Test(s) Included (1)
HBsAg Screening(Rapid)
1 Test Included"
42,herpes simplex virus hsv type 1 and 2 igm and igg ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Herpes Simplex Virus (HSV) Type 1 and Type 2 are two strains of the herpes virus that can cause infections in humans. HSV-1 is primarily associated with oral herpes, causing cold sores or fever blisters around the mouth and lips. On the other hand, HSV-2 is commonly linked with genital herpes, resulting in painful sores and blisters in the genital area.
The Herpes Simplex Virus 1+2 IgM Ab Serum test plays a crucial role in the diagnosis of HSV infections. It specifically detects the presence of IgM antibodies in the blood, which are produced in response to an active or recent herpes infection. The test is used to confirm the presence of the virus during the early stages of infection or for individuals experiencing their first outbreak.

Read More","Test(s) Included (2)
Herpes Simplex Viral Serology ( HSV 1+2 IgM & IgG )
2 Tests Included"
43,hcv tridot ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
HCV TRI-DOT is a rapid, visual, sensitive and qualitative in vitro diagnostic test for the detection of antibodies to Hepatitis C Virus in human serum or plasma. Hepatitis C is a type of liver disease caused by the hepatitis C virus (HCV). The virus may cause both acute and chronic hepatitis, which may range in severity from a mild illness that may last a few weeks to a serious, lifelong illness. Hepatitis C is one of a major cause of liver cancer. The common modes of infection is threw blood and sexual practices. Acute cases may not have any symptoms in a few but in chronic cases, if left untreated, hepatitis C can lead to chronic liver disease, cirrhosis or liver scarring, liver failure and/or liver cancer.
Read More","Test(s) Included (1)
HCV Tri Dot
1 Test Included"
